timestamp,artist,followers,popularity
2026-06-07 08:54:25.609966+00:00,KNEECAP,543970,63
2026-06-07 08:54:25.686222+00:00,CMAT,243916,59
2026-06-07 08:54:25.731447+00:00,NewDad,205993,52
2026-06-07 08:54:25.776714+00:00,SELLO,7568,16
2026-06-07 08:54:25.866174+00:00,Aby Coulibaly,16889,28
2026-06-07 08:54:25.905086+00:00,Inhaler,538573,56
2026-06-07 08:54:25.961297+00:00,MOIO,71265,41
2026-06-07 08:54:26.001776+00:00,Monjola,13037,24
2026-06-07 08:54:26.065523+00:00,Fizzy Orange,6171,26
2026-06-07 08:54:26.106125+00:00,Annie-Dog,2014,7
2026-06-07 08:54:26.166564+00:00,Kojaque,55825,35
