timestamp,artist,followers,popularity
2026-08-05 08:33:05.987637+00:00,KNEECAP,565030,63
2026-08-05 08:33:06.061733+00:00,CMAT,262303,62
2026-08-05 08:33:06.098555+00:00,NewDad,213834,54
2026-08-05 08:33:06.143972+00:00,SELLO,7629,19
2026-08-05 08:33:06.228188+00:00,Aby Coulibaly,17103,29
2026-08-05 08:33:06.310096+00:00,Inhaler,546277,58
2026-08-05 08:33:06.371136+00:00,MOIO,72591,44
2026-08-05 08:33:06.428704+00:00,Monjola,13260,26
2026-08-05 08:33:06.471503+00:00,Fizzy Orange,6292,30
2026-08-05 08:33:06.530351+00:00,Annie-Dog,2024,7
2026-08-05 08:33:06.564545+00:00,Kojaque,56204,36
