timestamp,artist,followers,popularity
2026-07-02 08:53:54.011495+00:00,KNEECAP,553266,63
2026-07-02 08:53:54.107806+00:00,CMAT,254629,62
2026-07-02 08:53:54.157907+00:00,NewDad,209539,53
2026-07-02 08:53:54.218051+00:00,SELLO,7589,19
2026-07-02 08:53:54.275115+00:00,Aby Coulibaly,16975,29
2026-07-02 08:53:54.348962+00:00,Inhaler,542626,57
2026-07-02 08:53:54.394817+00:00,MOIO,71696,41
2026-07-02 08:53:54.476150+00:00,Monjola,13174,26
2026-07-02 08:53:54.551779+00:00,Fizzy Orange,6228,28
2026-07-02 08:53:54.622636+00:00,Annie-Dog,2017,6
2026-07-02 08:53:54.698030+00:00,Kojaque,56022,36
