timestamp,artist,followers,popularity
2025-09-17 06:27:01.183023+00:00,KNEECAP,426119,67
2025-09-17 06:27:01.261168+00:00,CMAT,184557,67
2025-09-17 06:27:01.376114+00:00,NewDad,158500,55
2025-09-17 06:27:01.423127+00:00,SELLO,7362,23
2025-09-17 06:27:01.513477+00:00,Aby Coulibaly,15748,31
2025-09-17 06:27:01.565523+00:00,Inhaler,499838,61
2025-09-17 06:27:01.661860+00:00,MOIO,66192,47
2025-09-17 06:27:01.753573+00:00,Monjola,12718,29
2025-09-17 06:27:01.877700+00:00,Fizzy Orange,5660,31
2025-09-17 06:27:01.936877+00:00,Annie-Dog,1900,12
2025-09-17 06:27:01.993565+00:00,Kojaque,53589,37
