timestamp,artist,followers,popularity
2026-02-11 07:00:02.727050+00:00,KNEECAP,494845,62
2026-02-11 07:00:02.792971+00:00,CMAT,218524,60
2026-02-11 07:00:02.848353+00:00,NewDad,186568,54
2026-02-11 07:00:02.935070+00:00,SELLO,7504,18
2026-02-11 07:00:03.001700+00:00,Aby Coulibaly,16298,30
2026-02-11 07:00:03.041585+00:00,Inhaler,524537,59
2026-02-11 07:00:03.077194+00:00,MOIO,69358,43
2026-02-11 07:00:03.163554+00:00,Monjola,12904,26
2026-02-11 07:00:03.294152+00:00,Fizzy Orange,5948,26
2026-02-11 07:00:03.362193+00:00,Annie-Dog,1927,10
2026-02-11 07:00:03.561542+00:00,Kojaque,54493,34
