timestamp,artist,followers,popularity
2026-08-25 06:42:53.224822+00:00,KNEECAP,570336,63
2026-08-25 06:42:53.273653+00:00,CMAT,265990,62
2026-08-25 06:42:53.458442+00:00,NewDad,216314,55
2026-08-25 06:42:53.510703+00:00,SELLO,7651,19
2026-08-25 06:42:53.583441+00:00,Aby Coulibaly,17170,30
2026-08-25 06:42:53.643051+00:00,Inhaler,548748,58
2026-08-25 06:42:53.696327+00:00,MOIO,72910,44
2026-08-25 06:42:53.741408+00:00,Monjola,13293,26
2026-08-25 06:42:53.788664+00:00,Fizzy Orange,6326,29
2026-08-25 06:42:53.841831+00:00,Annie-Dog,2024,6
2026-08-25 06:42:53.999185+00:00,Kojaque,56309,36
