timestamp,artist,followers,popularity
2026-07-07 09:38:23.654963+00:00,KNEECAP,554957,63
2026-07-07 09:38:23.816138+00:00,CMAT,255642,62
2026-07-07 09:38:24.004585+00:00,NewDad,210089,53
2026-07-07 09:38:24.112642+00:00,SELLO,7594,19
2026-07-07 09:38:24.234524+00:00,Aby Coulibaly,17005,29
2026-07-07 09:38:24.334387+00:00,Inhaler,543068,57
2026-07-07 09:38:24.431967+00:00,MOIO,71838,42
2026-07-07 09:38:24.531064+00:00,Monjola,13200,26
2026-07-07 09:38:24.628732+00:00,Fizzy Orange,6237,28
2026-07-07 09:38:24.717398+00:00,Annie-Dog,2018,6
2026-07-07 09:38:24.801955+00:00,Kojaque,56054,36
