timestamp,artist,followers,popularity
2026-03-19 06:57:36.029735+00:00,KNEECAP,509672,61
2026-03-19 06:57:36.110943+00:00,CMAT,224904,58
2026-03-19 06:57:36.211759+00:00,NewDad,192367,52
2026-03-19 06:57:36.295114+00:00,SELLO,7532,17
2026-03-19 06:57:36.370730+00:00,Aby Coulibaly,16527,29
2026-03-19 06:57:36.427877+00:00,Inhaler,529168,57
2026-03-19 06:57:36.481597+00:00,MOIO,69774,40
2026-03-19 06:57:36.532887+00:00,Monjola,12948,24
2026-03-19 06:57:36.681279+00:00,Fizzy Orange,6007,26
2026-03-19 06:57:36.770925+00:00,Annie-Dog,1964,7
2026-03-19 06:57:36.902175+00:00,Kojaque,54957,35
