timestamp,artist,followers,popularity
2026-06-22 11:51:35.880887+00:00,KNEECAP,550346,63
2026-06-22 11:51:35.966443+00:00,CMAT,251466,62
2026-06-22 11:51:36.129358+00:00,NewDad,208217,53
2026-06-22 11:51:36.176213+00:00,SELLO,7579,19
2026-06-22 11:51:36.259043+00:00,Aby Coulibaly,16939,28
2026-06-22 11:51:36.395363+00:00,Inhaler,541103,57
2026-06-22 11:51:36.469947+00:00,MOIO,71496,41
2026-06-22 11:51:36.576326+00:00,Monjola,13114,26
2026-06-22 11:51:36.663503+00:00,Fizzy Orange,6205,27
2026-06-22 11:51:36.778164+00:00,Annie-Dog,2015,7
2026-06-22 11:51:36.857505+00:00,Kojaque,55980,36
