timestamp,artist,followers,popularity
2026-06-09 09:40:48.188650+00:00,KNEECAP,544894,63
2026-06-09 09:40:48.281295+00:00,CMAT,245171,59
2026-06-09 09:40:48.320802+00:00,NewDad,206377,52
2026-06-09 09:40:48.376827+00:00,SELLO,7568,16
2026-06-09 09:40:48.437453+00:00,Aby Coulibaly,16902,28
2026-06-09 09:40:48.497601+00:00,Inhaler,538808,56
2026-06-09 09:40:48.551030+00:00,MOIO,71301,41
2026-06-09 09:40:48.625694+00:00,Monjola,13054,24
2026-06-09 09:40:48.696262+00:00,Fizzy Orange,6175,26
2026-06-09 09:40:48.762269+00:00,Annie-Dog,2014,7
2026-06-09 09:40:48.847712+00:00,Kojaque,55855,35
