timestamp,artist,followers,popularity
2025-08-25 06:30:16.375737+00:00,KNEECAP,408025,66
2025-08-25 06:30:16.416871+00:00,CMAT,169987,65
2025-08-25 06:30:16.471779+00:00,NewDad,154750,54
2025-08-25 06:30:16.508781+00:00,SELLO,7339,24
2025-08-25 06:30:16.554319+00:00,Aby Coulibaly,15705,33
2025-08-25 06:30:16.591822+00:00,Inhaler,496841,62
2025-08-25 06:30:16.635482+00:00,MOIO,65812,48
2025-08-25 06:30:16.689834+00:00,Monjola,12709,29
2025-08-25 06:30:16.745645+00:00,Fizzy Orange,5520,30
2025-08-25 06:30:16.807932+00:00,Annie-Dog,1786,13
2025-08-25 06:30:16.852319+00:00,Kojaque,53545,37
