timestamp,artist,followers,popularity
2025-12-30 06:32:05.378095+00:00,KNEECAP,478158,64
2025-12-30 06:32:05.431077+00:00,CMAT,209605,62
2025-12-30 06:32:05.474606+00:00,NewDad,179231,54
2025-12-30 06:32:05.517971+00:00,SELLO,7474,21
2025-12-30 06:32:05.576500+00:00,Aby Coulibaly,16070,30
2025-12-30 06:32:05.616007+00:00,Inhaler,517234,60
2025-12-30 06:32:05.657100+00:00,MOIO,68726,45
2025-12-30 06:32:05.724281+00:00,Monjola,12838,26
2025-12-30 06:32:05.785410+00:00,Fizzy Orange,5872,28
2025-12-30 06:32:05.838190+00:00,Annie-Dog,1895,12
2025-12-30 06:32:05.898588+00:00,Kojaque,53953,35
