timestamp,artist,followers,popularity
2026-02-13 06:58:42.158560+00:00,KNEECAP,495700,62
2026-02-13 06:58:42.269135+00:00,CMAT,218753,59
2026-02-13 06:58:42.337541+00:00,NewDad,186895,52
2026-02-13 06:58:42.415219+00:00,SELLO,7503,18
2026-02-13 06:58:42.564115+00:00,Aby Coulibaly,16301,29
2026-02-13 06:58:42.739843+00:00,Inhaler,524810,59
2026-02-13 06:58:42.820824+00:00,MOIO,69363,42
2026-02-13 06:58:42.917039+00:00,Monjola,12903,25
2026-02-13 06:58:42.991997+00:00,Fizzy Orange,5953,26
2026-02-13 06:58:43.107945+00:00,Annie-Dog,1926,9
2026-02-13 06:58:43.198420+00:00,Kojaque,54528,33
