timestamp,artist,followers,popularity
2026-03-28 06:58:17.815592+00:00,KNEECAP,513430,62
2026-03-28 06:58:17.897341+00:00,CMAT,226350,59
2026-03-28 06:58:17.944121+00:00,NewDad,193701,53
2026-03-28 06:58:18.002916+00:00,SELLO,7536,17
2026-03-28 06:58:18.071078+00:00,Aby Coulibaly,16565,30
2026-03-28 06:58:18.113492+00:00,Inhaler,530197,58
2026-03-28 06:58:18.186155+00:00,MOIO,69896,40
2026-03-28 06:58:18.238090+00:00,Monjola,12955,24
2026-03-28 06:58:18.340488+00:00,Fizzy Orange,6030,26
2026-03-28 06:58:18.397419+00:00,Annie-Dog,1974,8
2026-03-28 06:58:18.478949+00:00,Kojaque,55079,36
