timestamp,artist,followers,popularity
2025-11-06 06:29:13.686223+00:00,KNEECAP,454671,62
2025-11-06 06:29:13.726280+00:00,CMAT,196461,60
2025-11-06 06:29:13.787204+00:00,NewDad,169903,53
2025-11-06 06:29:13.849349+00:00,SELLO,7400,18
2025-11-06 06:29:13.893806+00:00,Aby Coulibaly,15888,28
2025-11-06 06:29:13.990172+00:00,Inhaler,507623,58
2025-11-06 06:29:14.028692+00:00,MOIO,67412,44
2025-11-06 06:29:14.129886+00:00,Monjola,12745,24
2025-11-06 06:29:14.198239+00:00,Fizzy Orange,5747,27
2025-11-06 06:29:14.244955+00:00,Annie-Dog,1841,10
2025-11-06 06:29:14.291950+00:00,Kojaque,53697,33
