timestamp,artist,followers,popularity
2025-06-28 06:25:23.645022+00:00,KNEECAP,333866,65
2025-06-28 06:25:23.678154+00:00,CMAT,138656,63
2025-06-28 06:25:23.711707+00:00,NewDad,145806,53
2025-06-28 06:25:23.747770+00:00,SELLO,7226,27
2025-06-28 06:25:23.810227+00:00,Aby Coulibaly,15495,32
2025-06-28 06:25:23.845114+00:00,Inhaler,487275,63
2025-06-28 06:25:23.877140+00:00,MOIO,64919,49
2025-06-28 06:25:23.924281+00:00,Monjola,12705,30
2025-06-28 06:25:23.976220+00:00,Fizzy Orange,5313,31
2025-06-28 06:25:24.020606+00:00,Annie-Dog,1754,15
2025-06-28 06:25:24.066995+00:00,Kojaque,53362,38
