timestamp,artist,followers,popularity
2026-02-22 06:46:37.741799+00:00,KNEECAP,499404,60
2026-02-22 06:46:37.808522+00:00,CMAT,219987,57
2026-02-22 06:46:37.894776+00:00,NewDad,188276,51
2026-02-22 06:46:37.980284+00:00,SELLO,7509,17
2026-02-22 06:46:38.029056+00:00,Aby Coulibaly,16338,27
2026-02-22 06:46:38.073976+00:00,Inhaler,526026,57
2026-02-22 06:46:38.115974+00:00,MOIO,69456,40
2026-02-22 06:46:38.242581+00:00,Monjola,12912,23
2026-02-22 06:46:38.331817+00:00,Fizzy Orange,5967,24
2026-02-22 06:46:38.386156+00:00,Annie-Dog,1928,7
2026-02-22 06:46:38.433683+00:00,Kojaque,54610,32
