timestamp,artist,followers,popularity
2026-03-20 06:54:43.188657+00:00,KNEECAP,510151,61
2026-03-20 06:54:43.263553+00:00,CMAT,225093,59
2026-03-20 06:54:43.336291+00:00,NewDad,192503,52
2026-03-20 06:54:43.423214+00:00,SELLO,7533,17
2026-03-20 06:54:43.516087+00:00,Aby Coulibaly,16530,29
2026-03-20 06:54:43.614643+00:00,Inhaler,529281,58
2026-03-20 06:54:43.719412+00:00,MOIO,69790,40
2026-03-20 06:54:43.909520+00:00,Monjola,12950,24
2026-03-20 06:54:44.068059+00:00,Fizzy Orange,6008,26
2026-03-20 06:54:44.228028+00:00,Annie-Dog,1964,7
2026-03-20 06:54:44.318429+00:00,Kojaque,54968,35
