timestamp,artist,followers,popularity
2026-06-12 10:10:49.433789+00:00,KNEECAP,546155,63
2026-06-12 10:10:49.480471+00:00,CMAT,247097,60
2026-06-12 10:10:49.577242+00:00,NewDad,206820,52
2026-06-12 10:10:49.703332+00:00,SELLO,7569,16
2026-06-12 10:10:49.810168+00:00,Aby Coulibaly,16915,28
2026-06-12 10:10:49.849391+00:00,Inhaler,539196,56
2026-06-12 10:10:49.896967+00:00,MOIO,71359,41
2026-06-12 10:10:49.938934+00:00,Monjola,13062,24
2026-06-12 10:10:49.978712+00:00,Fizzy Orange,6180,26
2026-06-12 10:10:50.032854+00:00,Annie-Dog,2017,7
2026-06-12 10:10:50.077384+00:00,Kojaque,55879,35
