timestamp,artist,followers,popularity
2026-01-31 06:37:57.293323+00:00,KNEECAP,490119,63
2026-01-31 06:37:57.383282+00:00,CMAT,216695,61
2026-01-31 06:37:57.516191+00:00,NewDad,184487,55
2026-01-31 06:37:57.625411+00:00,SELLO,7494,21
2026-01-31 06:37:57.716015+00:00,Aby Coulibaly,16232,31
2026-01-31 06:37:57.809452+00:00,Inhaler,523028,61
2026-01-31 06:37:57.937304+00:00,MOIO,69228,44
2026-01-31 06:37:58.055564+00:00,Monjola,12889,27
2026-01-31 06:37:58.223520+00:00,Fizzy Orange,5911,28
2026-01-31 06:37:58.330676+00:00,Annie-Dog,1918,11
2026-01-31 06:37:58.417573+00:00,Kojaque,54364,35
