timestamp,artist,followers,popularity
2025-07-02 06:28:40.664780+00:00,KNEECAP,352047,66
2025-07-02 06:28:40.723725+00:00,CMAT,143839,63
2025-07-02 06:28:40.778944+00:00,NewDad,146277,53
2025-07-02 06:28:40.854059+00:00,SELLO,7234,27
2025-07-02 06:28:40.910052+00:00,Aby Coulibaly,15511,32
2025-07-02 06:28:40.973156+00:00,Inhaler,489184,63
2025-07-02 06:28:41.028700+00:00,MOIO,64994,49
2025-07-02 06:28:41.119499+00:00,Monjola,12712,30
2025-07-02 06:28:41.197903+00:00,Fizzy Orange,5321,31
2025-07-02 06:28:41.251755+00:00,Annie-Dog,1761,15
2025-07-02 06:28:41.315358+00:00,Kojaque,53385,38
