timestamp,artist,followers,popularity
2025-11-30 06:28:34.739121+00:00,KNEECAP,464626,63
2025-11-30 06:28:34.841718+00:00,CMAT,200710,61
2025-11-30 06:28:34.889286+00:00,NewDad,173950,54
2025-11-30 06:28:35.068970+00:00,SELLO,7436,21
2025-11-30 06:28:35.135343+00:00,Aby Coulibaly,15953,30
2025-11-30 06:28:35.238721+00:00,Inhaler,511542,60
2025-11-30 06:28:35.282069+00:00,MOIO,67871,44
2025-11-30 06:28:35.704825+00:00,Monjola,12788,25
2025-11-30 06:28:35.960497+00:00,Fizzy Orange,5802,28
2025-11-30 06:28:36.031583+00:00,Annie-Dog,1867,12
2025-11-30 06:28:36.201106+00:00,Kojaque,53763,34
